Gen,Family.ID,Sperm_ID,Sperm_length
G0,1,1.jpg,90
G0,1,1.jpg,80
G0,1,2.jpg,80
G0,1,3.jpg,86
G0,1,4.jpg,80
G0,1,5.jpg,93
G0,1,7.jpg,89
G0,1,8.jpg,88
G0,1,9.jpg,82
G0,1,10.jpg,83
G0,1,11.jpg,89
G0,1,12.jpg,99
G0,1,13.jpg,83
G0,1,14.jpg,97
G0,1,14.jpg,95
G0,1,15.jpg,88
G0,1,16.jpg,87
G0,1,17.jpg,89
G0,1,18.jpg,83
G0,1,19.jpg,86
G0,2,1.jpg,83
G0,2,2.jpg,92
G0,2,2.jpg,87
G0,2,3.jpg,84
G0,2,4.jpg,86
G0,2,5.jpg,84
G0,2,6.jpg,85
G0,2,7.jpg,88
G0,2,8.jpg,89
G0,2,9.jpg,83
G0,2,9.jpg,87
G0,2,10.jpg,87
G0,2,10.jpg,91
G0,2,11.jpg,88
G0,2,11.jpg,84
G0,2,11.jpg,87
G0,2,12.jpg,89
G0,2,12.jpg,83
G0,2,12.jpg,90
G0,2,13.jpg,89
G0,3,1.jpg,89
G0,3,1.jpg,90
G0,3,2.jpg,88
G0,3,2.jpg,87
G0,3,2.jpg,83
G0,3,3.jpg,85
G0,3,3.jpg,88
G0,3,4.jpg,88
G0,3,5.jpg,88
G0,3,5.jpg,82
G0,3,6.jpg,92
G0,3,6.jpg,84
G0,3,6.jpg,85
G0,3,7.jpg,90
G0,3,7.jpg,86
G0,3,8.jpg,93
G0,3,9.jpg,88
G0,3,9.jpg,89
G0,3,10.jpg,85
G0,3,10.jpg,93
G0,4,1.jpg,89
G0,4,1.jpg,90
G0,4,1.jpg,82
G0,4,1.jpg,87
G0,4,2.jpg,81
G0,4,2.jpg,88
G0,4,2.jpg,87
G0,4,3.jpg,89
G0,4,3.jpg,93
G0,4,4.jpg,85
G0,4,4.jpg,85
G0,4,4.jpg,80
G0,4,4.jpg,85
G0,4,5.jpg,90
G0,4,5.jpg,96
G0,4,5.jpg,87
G0,4,6.jpg,83
G0,4,6.jpg,83
G0,4,7.jpg,89
G0,4,7.jpg,84
G0,5,1.jpg,82
G0,5,1.jpg,84
G0,5,1.jpg,82
G0,5,2.jpg,95
G0,5,2.jpg,87
G0,5,3.jpg,83
G0,5,3.jpg,91
G0,5,4.jpg,94
G0,5,4.jpg,87
G0,5,4.jpg,88
G0,5,5.jpg,91
G0,5,6.jpg,92
G0,5,7.jpg,86
G0,5,8.jpg,84
G0,5,9.jpg,92
G0,5,10.jpg,91
G0,5,10.jpg,86
G0,5,11.jpg,89
G0,5,12.jpg,88
G0,5,12.jpg,87
G0,6,1.jpg,84
G0,6,1.jpg,89
G0,6,2.jpg,90
G0,6,2.jpg,82
G0,6,2.jpg,92
G0,6,3.jpg,94
G0,6,3.jpg,86
G0,6,3.jpg,85
G0,6,4.jpg,80
G0,6,4.jpg,82
G0,6,4.jpg,80
G0,6,4.jpg,82
G0,6,5.jpg,88
G0,6,5.jpg,92
G0,6,6.jpg,88
G0,6,7.jpg,90
G0,6,8.jpg,84
G0,6,8.jpg,90
G0,6,9.jpg,98
G0,6,9.jpg,88
G0,7,1.jpg,83
G0,7,1.jpg,88
G0,7,2.jpg,93
G0,7,3.jpg,82
G0,7,4.jpg,86
G0,7,4.jpg,87
G0,7,4.jpg,89
G0,7,5.jpg,84
G0,7,5.jpg,95
G0,7,5.jpg,95
G0,7,6.jpg,81
G0,7,6.jpg,89
G0,7,6.jpg,84
G0,7,6.jpg,89
G0,7,7.jpg,85
G0,7,7.jpg,83
G0,7,8.jpg,92
G0,7,8.jpg,89
G0,7,9.jpg,83
G0,7,9.jpg,82
G0,8,1.jpg,80
G0,8,1.jpg,88
G0,8,1.jpg,92
G0,8,2.jpg,84
G0,8,2.jpg,85
G0,8,3.jpg,86
G0,8,3.jpg,83
G0,8,3.jpg,81
G0,8,4.jpg,88
G0,8,4.jpg,81
G0,8,4.jpg,82
G0,8,5.jpg,81
G0,8,5.jpg,85
G0,8,5.jpg,93
G0,8,6.jpg,87
G0,8,7.jpg,84
G0,8,7.jpg,84
G0,8,8.jpg,87
G0,8,8.jpg,95
G0,8,8.jpg,81
G0,9,1.jpg,87
G0,9,1.jpg,84
G0,9,1.jpg,89
G0,9,1.jpg,81
G0,9,1.jpg,91
G0,9,1.jpg,81
G0,9,2.jpg,84
G0,9,2.jpg,90
G0,9,3.jpg,80
G0,9,3.jpg,83
G0,9,3.jpg,82
G0,9,3.jpg,87
G0,9,4.jpg,87
G0,9,4.jpg,80
G0,9,4.jpg,83
G0,9,5.jpg,81
G0,9,5.jpg,88
G0,9,5.jpg,85
G0,9,5.jpg,90
G0,9,6.jpg,89
G0,10,1.jpg,83
G0,10,1.jpg,82
G0,10,1.jpg,96
G0,10,1.jpg,82
G0,10,2.jpg,95
G0,10,3.jpg,80
G0,10,3.jpg,99
G0,10,4.jpg,89
G0,10,4.jpg,99
G0,10,4.jpg,88
G0,10,5.jpg,81
G0,10,5.jpg,84
G0,10,5.jpg,85
G0,10,5.jpg,83
G0,10,6.jpg,91
G0,10,6.jpg,80
G0,10,7.jpg,89
G0,10,7.jpg,99
G0,10,8.jpg,90
G0,10,8.jpg,91
G0,11,1.jpg,87
G0,11,1.jpg,94
G0,11,1.jpg,85
G0,11,1.jpg,82
G0,11,2.jpg,84
G0,11,2.jpg,94
G0,11,2.jpg,80
G0,11,2.jpg,87
G0,11,3.jpg,91
G0,11,3.jpg,87
G0,11,3.jpg,84
G0,11,3.jpg,83
G0,11,4.jpg,91
G0,11,4.jpg,89
G0,11,4.jpg,88
G0,11,5.jpg,89
G0,11,5.jpg,88
G0,11,6.jpg,89
G0,11,6.jpg,93
G0,11,6.jpg,84
G0,12,1.jpg,84
G0,12,1.jpg,80
G0,12,1.jpg,74
G0,12,2.jpg,84
G0,12,2.jpg,88
G0,12,2.jpg,93
G0,12,2.jpg,90
G0,12,3.jpg,77
G0,12,3.jpg,83
G0,12,3.jpg,92
G0,12,4.jpg,86
G0,12,4.jpg,88
G0,12,5.jpg,82
G0,12,5.jpg,78
G0,12,5.jpg,83
G0,12,5.jpg,75
G0,12,5.jpg,77
G0,12,5.jpg,82
G0,12,6.jpg,81
G0,12,6.jpg,87
G0,13,1.jpg,88
G0,13,1.jpg,93
G0,13,1.jpg,82
G0,13,1.jpg,85
G0,13,1.jpg,75
G0,13,2.jpg,83
G0,13,2.jpg,89
G0,13,2.jpg,90
G0,13,3.jpg,90
G0,13,3.jpg,77
G0,13,3.jpg,77
G0,13,3.jpg,86
G0,13,3.jpg,91
G0,13,4.jpg,82
G0,13,4.jpg,80
G0,13,4.jpg,83
G0,13,5.jpg,80
G0,13,5.jpg,96
G0,13,5.jpg,75
G0,13,6.jpg,84
G0,14,1.jpg,85
G0,14,1.jpg,76
G0,14,1.jpg,80
G0,14,2.jpg,86
G0,14,2.jpg,80
G0,14,2.jpg,80
G0,14,3.jpg,86
G0,14,3.jpg,84
G0,14,3.jpg,84
G0,14,4.jpg,87
G0,14,4.jpg,83
G0,14,4.jpg,82
G0,14,4.jpg,80
G0,14,5.jpg,85
G0,14,5.jpg,74
G0,14,5.jpg,75
G0,14,5.jpg,84
G0,14,6.jpg,81
G0,14,6.jpg,97
G0,14,6.jpg,82
G0,15,1.jpg,84
G0,15,1.jpg,78
G0,15,2.jpg,82
G0,15,2.jpg,80
G0,15,3.jpg,80
G0,15,3.jpg,99
G0,15,3.jpg,95
G0,15,3.jpg,93
G0,15,4.jpg,92
G0,15,4.jpg,86
G0,15,4.jpg,81
G0,15,5.jpg,98
G0,15,5.jpg,96
G0,15,5.jpg,96
G0,15,6.jpg,85
G0,15,6.jpg,85
G0,15,6.jpg,84
G0,15,6.jpg,88
G0,15,6.jpg,78
G0,15,6.jpg,98
G0,16,1.jpg,75
G0,16,1.jpg,89
G0,16,1.jpg,100
G0,16,2.jpg,93
G0,16,2.jpg,90
G0,16,2.jpg,82
G0,16,2.jpg,94
G0,16,2.jpg,88
G0,16,2.jpg,100
G0,16,3.jpg,96
G0,16,3.jpg,95
G0,16,4.jpg,89
G0,16,4.jpg,92
G0,16,4.jpg,93
G0,16,4.jpg,90
G0,16,4.jpg,78
G0,16,4.jpg,83
G0,16,4.jpg,86
G0,16,4.jpg,91
G0,16,4.jpg,84
G0,17,1.jpg,81
G0,17,1.jpg,80
G0,17,2.jpg,86
G0,17,2.jpg,80
G0,17,2.jpg,90
G0,17,3.jpg,87
G0,17,3.jpg,84
G0,17,3.jpg,77
G0,17,3.jpg,96
G0,17,4.jpg,97
G0,17,4.jpg,85
G0,17,5.jpg,88
G0,17,5.jpg,84
G0,17,6.jpg,85
G0,17,6.jpg,86
G0,17,6.jpg,86
G0,17,7.jpg,85
G0,17,7.jpg,94
G0,17,7.jpg,85
G0,17,7.jpg,82
G0,18,1.jpg,83
G0,18,2.jpg,91
G0,18,2.jpg,88
G0,18,2.jpg,96
G0,18,2.jpg,83
G0,18,3.jpg,94
G0,18,3.jpg,83
G0,18,3.jpg,80
G0,18,3.jpg,78
G0,18,3.jpg,89
G0,18,4.jpg,86
G0,18,4.jpg,89
G0,18,4.jpg,89
G0,18,4.jpg,81
G0,18,4.jpg,97
G0,18,5.jpg,87
G0,18,5.jpg,90
G0,18,5.jpg,89
G0,18,5.jpg,95
G0,18,5.jpg,82
G0,19,1.jpg,76
G0,19,1.jpg,87
G0,19,1.jpg,94
G0,19,1.jpg,92
G0,19,1.jpg,98
G0,19,2.jpg,97
G0,19,2.jpg,96
G0,19,3.jpg,91
G0,19,3.jpg,82
G0,19,4.jpg,97
G0,19,4.jpg,94
G0,19,4.jpg,83
G0,19,4.jpg,74
G0,19,5.jpg,92
G0,19,5.jpg,88
G0,19,5.jpg,100
G0,19,5.jpg,95
G0,19,6.jpg,96
G0,19,6.jpg,81
G0,19,6.jpg,76
G0,20,1.jpg,85
G0,20,1.jpg,87
G0,20,1.jpg,90
G0,20,1.jpg,84
G0,20,1.jpg,83
G0,20,1.jpg,94
G0,20,2.jpg,90
G0,20,2.jpg,88
G0,20,2.jpg,90
G0,20,2.jpg,87
G0,20,2.jpg,84
G0,20,2.jpg,81
G0,20,2.jpg,78
G0,20,2.jpg,93
G0,20,3.jpg,84
G0,20,3.jpg,74
G0,20,3.jpg,78
G0,20,3.jpg,87
G0,20,4.jpg,91
G0,20,4.jpg,83
G0,21,1.jpg,83
G0,21,1.jpg,90
G0,21,1.jpg,81
G0,21,1.jpg,81
G0,21,2.jpg,84
G0,21,2.jpg,80
G0,21,3.jpg,99
G0,21,3.jpg,80
G0,21,3.jpg,80
G0,21,4.jpg,81
G0,21,5.jpg,94
G0,21,5.jpg,83
G0,21,5.jpg,82
G0,21,5.jpg,87
G0,21,6.jpg,84
G0,21,6.jpg,83
G0,21,6.jpg,79
G0,21,7.jpg,88
G0,21,7.jpg,88
G0,21,8.jpg,89
G0,22,1.jpg,92
G0,22,1.jpg,84
G0,22,1.jpg,85
G0,22,2.jpg,89
G0,22,2.jpg,93
G0,22,2.jpg,88
G0,22,2.jpg,84
G0,22,2.jpg,86
G0,22,2.jpg,97
G0,22,3.jpg,91
G0,22,3.jpg,85
G0,22,3.jpg,87
G0,22,3.jpg,85
G0,22,3.jpg,84
G0,22,3.jpg,76
G0,22,3.jpg,82
G0,22,3.jpg,80
G0,22,3.jpg,95
G0,22,4.jpg,87
G0,22,4.jpg,92
G0,23,1.jpg,92
G0,23,1.jpg,85
G0,23,2.jpg,86
G0,23,3.jpg,92
G0,23,4.jpg,87
G0,23,4.jpg,85
G0,23,5.jpg,90
G0,23,6.jpg,86
G0,23,6.jpg,90
G0,23,6.jpg,81
G0,23,7.jpg,95
G0,23,7.jpg,83
G0,23,8.jpg,98
G0,23,8.jpg,86
G0,23,8.jpg,85
G0,23,8.jpg,80
G0,23,9.jpg,84
G0,23,9.jpg,88
G0,23,9.jpg,93
G0,23,10.jpg,91
G0,24,1.jpg,90
G0,24,1.jpg,81
G0,24,1.jpg,89
G0,24,1.jpg,86
G0,24,2.jpg,87
G0,24,2.jpg,86
G0,24,2.jpg,80
G0,24,2.jpg,84
G0,24,2.jpg,94
G0,24,2.jpg,80
G0,24,2.jpg,86
G0,24,3.jpg,90
G0,24,3.jpg,91
G0,24,3.jpg,86
G0,24,3.jpg,85
G0,24,4.jpg,82
G0,24,4.jpg,80
G0,24,4.jpg,80
G0,24,4.jpg,80
G0,24,4.jpg,84
G0,25,1.jpg,84
G0,25,1.jpg,85
G0,25,1.jpg,81
G0,25,2.jpg,83
G0,25,2.jpg,86
G0,25,2.jpg,82
G0,25,2.jpg,82
G0,25,2.jpg,84
G0,25,3.jpg,77
G0,25,3.jpg,90
G0,25,3.jpg,77
G0,25,4.jpg,89
G0,25,4.jpg,96
G0,25,5.jpg,88
G0,25,5.jpg,79
G0,25,5.jpg,77
G0,25,5.jpg,83
G0,25,5.jpg,89
G0,25,6.jpg,85
G0,25,6.jpg,89
G0,26,1.jpg,88
G0,26,1.jpg,91
G0,26,2.jpg,84
G0,26,2.jpg,88
G0,26,2.jpg,83
G0,26,2.jpg,89
G0,26,2.jpg,88
G0,26,2.jpg,90
G0,26,3.jpg,91
G0,26,3.jpg,85
G0,26,3.jpg,75
G0,26,4.jpg,89
G0,26,4.jpg,88
G0,26,4.jpg,97
G0,26,4.jpg,87
G0,26,5.jpg,94
G0,26,5.jpg,85
G0,26,5.jpg,88
G0,26,5.jpg,90
G0,26,5.jpg,83
G0,27,1.jpg,86
G0,27,1.jpg,97
G0,27,1.jpg,99
G0,27,2.jpg,93
G0,27,2.jpg,90
G0,27,2.jpg,79
G0,27,2.jpg,80
G0,27,3.jpg,84
G0,27,3.jpg,85
G0,27,3.jpg,91
G0,27,3.jpg,91
G0,27,4.jpg,95
G0,27,4.jpg,98
G0,27,5.jpg,87
G0,27,5.jpg,83
G0,27,5.jpg,85
G0,27,5.jpg,85
G0,27,5.jpg,85
G0,27,5.jpg,84
G0,27,6.jpg,93
G0,28,1.jpg,88
G0,28,1.jpg,89
G0,28,1.jpg,87
G0,28,1.jpg,86
G0,28,1.jpg,77
G0,28,1.jpg,80
G0,28,1.jpg,83
G0,28,1.jpg,79
G0,28,2.jpg,95
G0,28,2.jpg,86
G0,28,3.jpg,88
G0,28,3.jpg,92
G0,28,4.jpg,87
G0,28,4.jpg,94
G0,28,4.jpg,92
G0,28,4.jpg,90
G0,28,5.jpg,87
G0,28,5.jpg,87
G0,28,5.jpg,78
G0,28,5.jpg,81
G0,29,1.jpg,84
G0,29,1.jpg,90
G0,29,1.jpg,87
G0,29,2.jpg,84
G0,29,2.jpg,86
G0,29,3.jpg,83
G0,29,4.jpg,97
G0,29,4.jpg,90
G0,29,4.jpg,99
G0,29,5.jpg,87
G0,29,5.jpg,87
G0,29,6.jpg,88
G0,29,6.jpg,87
G0,29,6.jpg,87
G0,29,7.jpg,81
G0,29,7.jpg,84
G0,29,7.jpg,90
G0,29,8.jpg,95
G0,29,8.jpg,85
G0,29,8.jpg,85
G0,30,1.jpg,88
G0,30,1.jpg,95
G0,30,1.jpg,74
G0,30,2.jpg,85
G0,30,2.jpg,85
G0,30,3.jpg,79
G0,30,3.jpg,94
G0,30,3.jpg,87
G0,30,4.jpg,97
G0,30,4.jpg,83
G0,30,4.jpg,78
G0,30,5.jpg,89
G0,30,5.jpg,94
G0,30,6.jpg,88
G0,30,7.jpg,87
G0,30,8.jpg,88
G0,30,9.jpg,84
G0,30,10.jpg,89
G0,30,10.jpg,95
G0,30,11.jpg,86
G0,31,1.jpg,91
G0,31,1.jpg,83
G0,31,1.jpg,92
G0,31,1.jpg,80
G0,31,1.jpg,85
G0,31,2.jpg,81
G0,31,2.jpg,91
G0,31,2.jpg,84
G0,31,2.jpg,87
G0,31,3.jpg,84
G0,31,3.jpg,87
G0,31,3.jpg,81
G0,31,3.jpg,84
G0,31,3.jpg,81
G0,31,3.jpg,86
G0,31,4.jpg,88
G0,31,4.jpg,83
G0,31,4.jpg,91
G0,31,4.jpg,88
G0,31,5.jpg,91
G0,32,1.jpg,78
G0,32,1.jpg,84
G0,32,1.jpg,91
G0,32,1.jpg,87
G0,32,2.jpg,87
G0,32,2.jpg,85
G0,32,3.jpg,90
G0,32,3.jpg,86
G0,32,3.jpg,94
G0,32,4.jpg,85
G0,32,4.jpg,85
G0,32,4.jpg,88
G0,32,4.jpg,97
G0,32,4.jpg,85
G0,32,4.jpg,89
G0,32,5.jpg,82
G0,32,6.jpg,83
G0,32,6.jpg,96
G0,32,6.jpg,94
G0,32,6.jpg,99
G0,33,1.jpg,84
G0,33,1.jpg,84
G0,33,1.jpg,84
G0,33,1.jpg,87
G0,33,2.jpg,91
G0,33,2.jpg,91
G0,33,2.jpg,99
G0,33,2.jpg,81
G0,33,2.jpg,90
G0,33,3.jpg,89
G0,33,3.jpg,82
G0,33,3.jpg,85
G0,33,3.jpg,81
G0,33,4.jpg,88
G0,33,4.jpg,90
G0,33,4.jpg,82
G0,33,4.jpg,98
G0,33,4.jpg,83
G0,33,5.jpg,86
G0,33,5.jpg,87
G0,34,1.jpg,86
G0,34,1.jpg,89
G0,34,1.jpg,86
G0,34,1.jpg,90
G0,34,1.jpg,88
G0,34,2.jpg,86
G0,34,2.jpg,90
G0,34,2.jpg,80
G0,34,3.jpg,89
G0,34,4.jpg,87
G0,34,5.jpg,88
G0,34,5.jpg,84
G0,34,5.jpg,81
G0,34,5.jpg,85
G0,34,5.jpg,80
G0,34,6.jpg,99
G0,34,6.jpg,84
G0,34,6.jpg,88
G0,34,6.jpg,87
G0,34,7.jpg,89
G0,35,1.jpg,78
G0,35,1.jpg,87
G0,35,1.jpg,80
G0,35,1.jpg,80
G0,35,1.jpg,84
G0,35,2.jpg,90
G0,35,2.jpg,85
G0,35,3.jpg,84
G0,35,3.jpg,94
G0,35,3.jpg,82
G0,35,4.jpg,88
G0,35,4.jpg,83
G0,35,5.jpg,85
G0,35,5.jpg,77
G0,35,5.jpg,81
G0,35,6.jpg,99
G0,35,6.jpg,86
G0,35,7.jpg,82
G0,35,7.jpg,94
G0,35,7.jpg,77
G0,36,1.jpg,88
G0,36,1.jpg,100
G0,36,1.jpg,81
G0,36,2.jpg,88
G0,36,2.jpg,90
G0,36,2.jpg,82
G0,36,3.jpg,89
G0,36,3.jpg,87
G0,36,4.jpg,90
G0,36,4.jpg,93
G0,36,4.jpg,83
G0,36,5.jpg,85
G0,36,5.jpg,81
G0,36,6.jpg,84
G0,36,6.jpg,96
G0,36,6.jpg,87
G0,36,6.jpg,81
G0,36,6.jpg,87
G0,36,7.jpg,77
G0,36,7.jpg,87
G0,37,1.jpg,97
